Year,Month,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000m3/day,Capacity (1000 m3/d),Reason for variance from nameplate capacity
2015,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,72,88.8,Downstream Restrictions
2015,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,94.51100584,System Operating Factor
2015,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,85,94.51100584,System Operating Factor
2015,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,91.24455794,Downstream Restrictions
2015,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,79,91.24455794,Downstream Restrictions
2015,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,92.28,Downstream Restrictions
2015,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,80,92.28,Downstream Restrictions
2015,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,90.336,Downstream Restrictions
2015,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,71,90.336,Downstream Restrictions
2015,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,92.136,Downstream Restrictions
2015,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,74,92.136,Downstream Restrictions
2015,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,8,93.072,Downstream Restrictions
2015,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,78,93.072,Downstream Restrictions
2016,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,94.12550171,System Operating Factor
2016,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,85,94.12550171,System Operating Factor
2016,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,7,93.672,Downstream Restrictions
2016,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,85,93.672,Downstream Restrictions
2016,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,3,92.28,Downstream Restrictions
2016,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,84,92.28,Downstream Restrictions
