Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Capacity (1000 m3/d),Reason for variance from nameplate capacity
1,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.060044891,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.012412959,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.205674574,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.009990631,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.048168346,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.933397994,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.736681456,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.01765111,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.067581011,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.171394475,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.047306756,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.130484424,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.832515454,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.081774228,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.916277373,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
