COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Location 1
"Lee Oil Company, Inc.",Steuben,West Union,31101117680000,Rex O-414,UL,OD,-77.6965,42.09245,NO,8,"{'longitude': '-77.6965', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09245'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101117670000,Rex O-415,UL,OD,-77.69524,42.09486,NO,8,"{'longitude': '-77.69524', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09486'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101117690000,Rex O-416,UL,OD,-77.69724,42.09467,NO,8,"{'longitude': '-77.69724', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09467'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101123950000,Rex O-417,UL,OD,-77.69542,42.09151,NO,8,"{'longitude': '-77.69542', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09151'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101104270000,Rex P 385,UL,OD,-77.69671,42.09639,NO,8,"{'longitude': '-77.69671', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09639'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612540000,Rex P-351,UM,NL,-77.69464,42.09072,NO,8,"{'longitude': '-77.69464', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09072'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612450000,Rex P-352,UL,NL,-77.69478,42.0919,NO,8,"{'longitude': '-77.69478', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0919'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612340000,Rex P-359,UL,IW,-77.69467,42.09415,NO,8,"{'longitude': '-77.69467', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09415'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612330000,Rex P-360,UL,NL,-77.69623,42.09412,NO,8,"{'longitude': '-77.69623', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09412'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612320000,Rex P-361,UL,NL,-77.69791,42.09417,NO,8,"{'longitude': '-77.69791', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09417'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101606770000,Rex P-362,UL,NL,-77.69791,42.09533,NO,8,"{'longitude': '-77.69791', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09533'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101606780000,Rex P-363,UL,NL,-77.69626,42.09533,NO,8,"{'longitude': '-77.69626', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09533'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101606790000,Rex P-364,UL,IW,-77.6945,42.09531,NO,8,"{'longitude': '-77.6945', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09531'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101104260000,Rex P-384,UL,OD,-77.69794,42.0965,NO,8,"{'longitude': '-77.69794', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0965'}"
