LMS - INT03,"September 01, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,41057
Liability Run Date:,"September 01, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.85"
Number of Licensees at or over Industry Threshold:,"416"
Number of Licensees below Industry Threshold:,"326"
Total Number of Licensees Evaluated:,"742"
Total Number of Licences/Approvals Evaluated:,"347,591"
Total Deemed Assets:,"$146,858,075,626.57"
Total Deemed Liabilities:,"$30,267,349,926.92"
Total Estimated Liabilities:,"$30,964,314,289.92"
Total LMR Security Held:,"$187,397,039.76"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"225","3,177","$11,368.22","$230,234,039.46","0.00"
0.01 - 0.49,"39","1,164","$23,543,796.19","$111,853,912.33","0.21"
0.50 - 0.99,"62","12,748","$679,999,881.94","$841,291,123.04","0.81"
1.00 - 1.49,"128","51,906","$4,857,838,923.27","$3,781,131,905.77","1.28"
"Continental Energy Corporation  (A7LY)",,"2.94"
"Contour Energy Ltd.  (0GY1)",*,"1.00"
"Convega Energy Ltd.  (0E9R)",,"1.17"
"Cor4 Oil Corp.  (A6Y2)",,"1.48"
"Coral Exploration Corporation  (0NF4)",*,"0.80"
"Corex Resources Ltd.  (A2WH)",*,"2.10"
"Corinthian Oil Corp.  (A732)",*,"0.75"
"Corse Energy Corp.  (A6NW)",,"2.47"
"Cortona Energy Ltd.  (A79L)",,"1.87"
"Corval Energy Ltd.  (A6D1)",,"4.47"
"Cote Resources Ltd.  (A6G5)",*,"0.86"
"Crazy Hill Resources Ltd.  (0PJ1)",*,"1.15"
"Creenergy Oil & Gas Inc.  (A7M9)",*,"1.58"
"Crescent Point Energy Corp.  (A2J6)",,"2.44"
"Crest Jinn Petroleum Corporation  (A7MZ)",,"1.00"
"Crestwynd Exploration Ltd.  (A7MT)",,"7.60"
"Creswick Petroleum Ltd.  (0LP9)",*,"1.00"
"Crew Energy Inc.  (A0C6)",,"1.73"
"Crimson Oil & Gas Ltd.  (A6AG)",*,"0.69"
"Croverro Energy Ltd.  (A5PT)",,"0.87"
"CSV Midstream Solutions Corp.  (A6WG)",,"0.00"
"Cuda Energy Inc.  (A75T)",,"10.93"
"Cycle Energy Ltd.  (0D64)",,"0.23"
"Cynthia Custom Oil Processing Ltd.  (A74R)",*,"1.00"
"Dantel Resources Ltd.  (0KG3)",*,"1.00"
"Dark Energy Ltd.  (0XF2)",,"1.64"
"Dark Warrior Resources Ltd.  (A6AP)",*,"7.03"
"DCP Oil Corp.  (A7DB)",,"15.05"
"Deckland Inc.  (A64K)",,"2.59"
"Deep Well Oil & Gas (Alberta) Ltd.  (A577)",*,"1.00"
"DeerGarden Resources Ltd.  (A64N)",*,"4.47"
"Dejour Energy (Alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"13.72"
"Deltastream Energy Corporation  (A6YA)",,"6.85"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.28"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Devon Canada Corporation  (0K29)",*,"10.82"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dienerian Resources Inc.  (A777)",,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.59"
"Direct Energy Marketing Limited  (0RC3)",,"1.00"
"Direct Oil & Gas Inc.  (A7LX)",,"2.00"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.66"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"5.19"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"0.32"
"Drakkar Energy Ltd.  (A2RJ)",,"5.18"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"1.37"
"Eagle Energy Inc.  (A794)",,"2.93"
